Eduardo do Nascimento Marcos;56
Jose Luiz Boldrini;56
Beatriz Vaz de Melo Mendes;56
Enivaldo Carvalho da Rocha;56
Ana Lúcia Pereira;56
Seiji Isotani;56
Víctor Hugo Lachos Dávila;56
Evandro Bona;56
Eric Bair;56
Guilherme Luís Roehe Vaccaro;56
João Gilberto Corrêa da Silva;56
Fernando Antonio Figueiredo Cardoso da Silva;55
Ricardo Zorzetto Nicoliello Vêncio;55
Jorge Carlos Lucero;55
Carlos Teobaldo Gutierrez Vidalon;55
Jefferson Antonio Galves;55
Virgilio Augusto Fernandes Almeida;55
Eduardo Yoshio Nakano;54
Marco Aurélio Sicchiroli Lavrador;54
Marcelo Lobosco;54
Jose Valdo Abreu Goncalves;54
Peter Ngai-Sing Wong;54
Anaelena Bragança de Moraes;54
Antonio Alfredo Ferreira Loureiro;54
Robin Thomas Clarke;54
Bovas Abraham;54
Douglas D'Alessandro Salgado;54
Marcos André Gonçalves;54
Lucia Marina Scatena;54
Lucas Catão de Freitas Ferreira;53
Jacques Wainer;53
Rosangela Helena Loschi;53
Fabio Mariano Bayer;53
Denise Helena Lombardo Ferreira;53
Margarete Oliveira Domingues;53
Manfredo Perdigao do Carmo;53
Artur Avila Cordeiro de Melo;53
Francisco Antonio de Moraes Accioli Doria;53
Glaucia Aparecida Prates;53
Kristian Madeira;52
Lucia Maria Martins Giraffa;52
Tania Maria Mendonca Campos;52
Reinaldo Rodriguez Ramos;52
Farid Tari;52
Eugênio de Oliveira Simonetto;52
Marcus Vinicius Sarkis Martins;52
Sonia Vieira;52
Ana Teresa de Carvalho Correa de Oliveira;52
Álvaro Vigo;52
Jairo Zacarias Goncalves;52
Terezinha Aparecida Guedes;52
Chang Chung Yu Dorea;52
Maria Jose Pacifico;52
Teresa Bernarda Ludermir;52
Ruben Klein;52
Alexandre Xavier Falcão;51
Manoel Jose Machado Soares Lemos;51
Benjamín René Callejas Bedregal;51
Mikhajolo Dokuchaev;51
Jorge Ferreira;51
Marley Maria Bernardes Rebuzzi Vellasco;51
Ana Beatriz Monteiro Fonseca;51
Pedro Alberto Morettin;51
Leila Denise Alves Ferreira Amorim;51
Albo Carlos Cavalheiro;51
Luiz Koodi Hotta;51
Jorge Oishi;51
Carmen Silva Pereira;51
John Andrew Fossa;51
Victor Petrogradskiy;51
Silvia Modesto Nassar;51
Raul Yukihiro Matsushita;51
Luiz Antonio Barrera San Martin;51
Eraldo Schunk Silva;51
Ilka Afonso Reis;51
Paul Gerhard Kinas;50
Valdir Antonio Menegatto;50
Cristiano Hora de Oliveira Fontes;50
Said Najati Sidki;50
Ronaldo Rocha Bastos;50
Jorge Gonçalves Cardoso;50
Jose Felipe Voloch;50
Roberto Henrique Schonmann;50
Adriana Bruscato Bortoluzzo;50
Luiz Carlos Pacheco Rodrigues Velho;50
Luiz Marcos Garcia Goncalves;50
Ana Carolina Bertoletti De Marchi;50
José Gomes Bezerra Filho;50
Roberto Schirru;50
Francisco José Maia Pinto;50
Geraldo Márcio de Azevedo Botelho;50
Célia Maria Carolino Pires;50
Lucas Monteiro Chaves;49
Jorge Paladino Correa de Lima;49
Maria Aparecida Soares Ruas;49
Luiz Satoru Ochi;49
Ismar Frango Silveira;49
Patrícia Brandalise Scherer Bassani;49
Vladas Sidoravicius;49
Luiz Augusto Nóbrega Barroso;49
Luisa da Cunha e Costa Consiglieri;49
Valdério Anselmo Reisen;49
Ulisses Ramos Montarroyos;48
Roselaine Ruviaro Zanini;48
Flávio Bello Fialho;48
Arno Bayer;48
Viatcheslav Ivanovich Priimenko;48
Maria Helena Constantino Spyrides;48
Antonio Iván Ruíz Chaveco;48
Maria Laura Magalhães Gomes;48
Hildebrando Munhoz Rodrigues;48
Alex A Himonas;48
Laecio Carvalho de Barros;48
Flávio Ferrari Aragon;48
Adriano Canabarro Teixeira;48
Alagacone Sri Ranga;48
Carlos Gustavo Tamm de Araujo Moreira;48
Washington de Jesus Sant'Anna da Franca Rocha;48
Helio dos Santos Migon;48
Mário de Castro Andrade Filho;47
Maria Eulalia Vares;47
Antonio Aparecido de Andrade;47
Zhao Liang;47
Edward Hermann Haeusler;47
Antonio de Padua Braga;47
Erivelton Geraldo Nepomuceno;47
Marcelo Gattass;47
Li Weigang;47
Marcelo Miranda Viana da Silva;47
Konstantin Osipenko;47
Edilson Carlos Caritá;47
Manoel Henrique Salgado;47
Rafael Prikladnicki;47
Dani Gamerman;46
Jose Carlos Maldonado;46
Fernando Luiz Pereira de Oliveira;46
Jose Valdeni de Lima;46
Igor Mozolevski;46
Zhigui Lin;46
Cristiano Maciel;46
Valeri Kokchenev;46
Luca Foschini;46
Corina da Costa Freitas;46
Fábio Roberto Chavarette;46
Nikolai Valtchev Kolev;46
Leandro Nunes de Castro Silva;45
Alcides Lins Neto;45
Manuel Menezes de Oliveira Neto;45
Fabian Luis Vargas;45
Artur Hideyuki Tomita;45
Fabio Gagliardi Cozman;45
Maurício Barcellos Almeida;45
Cláudio Clemente Faria Barbosa;45
Mauricio Ayala Rincon;45
Julio Sílvio de Sousa Bueno Filho;45
Luciano Vieira Dutra;45
Miklos Maximiliano Bajay;45
Hedibert Freitas Lopes;45
Carlos Renato Lisboa Francês;45
Manoel Carlos Gonçalves;45
Ricardo João Cruz Correia;44
Romis Ribeiro de Faissol Attux;44
Christina L Staudhammer;44
Maria Cristina Fogliatti de Sinay;44
Luiz Renato Gonçalves Fontes;44
Carlile Campos Lavor;44
Vicente Garibay Cancho;44
Janilson Pinheiro de Assis;44
Jayme Vaz Junior;44
Cosme Marcelo Furtado Passos da Silva;44
Marilda Antonia de Oliveira Sotomayor;44
Oscar Dalfovo;44
Carlos Vitor de Alencar Carvalho;44
Miguel Angel Verdinelli;44
Luis Fernando de Osório Mello;44
Alexandre Cláudio Botazzo Delbem;44
Daniel Guariz Pinheiro;44
Roberto Marcondes Cesar Junior;43
Sergio Fabian Ochoa;43
Francesco Russo;43
Daniela Torres da Rocha;43
Gert Felix Schubring;43
Jose Tarcisio Lima Thiebaut;43
Sebastião Marcos Ribeiro de Carvalho;43
Maria da Conceição Chagas de Almeida;43
Francisco Vasques;43
Iouri Mikhailovich Soukhov;43
Fernanda de Oliveira Ferreira;43
Maria Inês Martins Copetti;43
Pedro Henrique Melo Albuquerque;43
Mery Natali Silva Abreu;43
Francisco Milton Mendes Neto;43
Misael Elias de Morais;43
Marco Antônio Pereira Araújo;43
Alexandre Cardoso;43
Hervé Panetto;43
Enrique Ramiro Pujals;43
Claudia Alejandra Sagastizabal;43
Subhash C Narula;43
Humberto Bustince Sola;43
Severino Collier Coutinho;43
Caetano Traina Junior;43
Marcio Magini;43
Paulo Romero Martins Maciel;43
Francisco Antonio Fernandes Reinaldo;42
Lourdes Maria Werle de Almeida;42
Lucia Pereira Barroso;42
David Edward Stewart;42
Wagner Meira Junior;42
Davi Casale Aragon;42
Maria Cecília Calani Baranauskas;42
Diego Marques Ferreira;42
Jaime Bruck Ripoll;42
Iran Abreu Mendes;42
Walmes Marques Zeviani;42
Nancy Lopes Garcia;42
Luiz de Souza;42
Rafael Dueire Lins;42
Dante Augusto Couto Barone;42
Andre Nachbin;42
Mauro de Lima Santos;42
Fábio Protti;41
Ricardo da Silva Torres;41
Nilce Fátima Scheffer;41
Mario Antonio Ribeiro Dantas;41
Marco Aurelio Cavalcanti Pacheco;41
Clóvis Pereira da Silva;41
Carlos Fernando de Araújo Jr;41
Anderson de Rezende Rocha;41
Daniela Buske;41
Regina Serrão Lanzillotti;41
Edward David Moreno Ordonez;41
Fátima de Lourdes dos Santos Nunes Marques;41
Antonio Carlos Gardel Leitão;41
Aura Conci;41
Ricardo Augusto da Luz Reis;41
Konstantin Pavlovich Belyaev;41
Ricardo Sá Earp;41
Ma To Fu;41
Ricardo José Gabrielli Barreto Campello;41
Marta Lima de Queiros Mattoso;41
Eline das Flores Victer;41
Rodrigo Fernandes de Mello;41
Rosemeire Leovigildo Fiaccone;41
Maria do Carmo Nicoletti;41
Isabel Cristina Machado de Lara;41
Julio Cesar Ruiz Claeyssen;41
Mark Thompson;40
Pedro Luiz Queiroz Pergher;40
Fermín Sinforiano Viloche Bazán;40
Rinaldo Artes;40
Adriano Vargas Freitas;40
Fernando Frei;40
Antonio Luz Furtado;40
Marcos Roberto da Silva Borges;40
José Carlos Sícoli Seoane;40
Aluizio Fausto Ribeiro Araújo;40
Juliana Vaz de Melo Mambrini;40
Marcos Benevenuto Jardim;40
Patricia Klarmann Ziegelmann;40
Gudlaugur Thorbergsson;40
Aldo Procacci;40
Joao Agnaldo do Nascimento;40
Albert Cordeiro Geber de Melo;40
Frank Michael Forger;40
Adalberto José Crocci;40
Fernando Silva Parreiras;40
Josiney Alves de Souza;40
Arlete de Jesus Brito;39
Mirela Sechi Moretti Annoni Notare;39
Philippe Yves Paul Michelon;39
Luigi Carro;39
Hernán Roberto Henríquez Miranda;39
Sérgio Augusto Santos de Moraes;39
Antonio Faria Neto;39
Alexei Krassilnikov;39
Leandro Ricardo Rodrigues de Lucena;39
Ernesto Julián Goldberg Birgin;39
Hubert Marie Lacoin;39
Flavio Dickstein;39
Silvana Ligia Vincenzi;39
Xijun Yu;39
Edel Alexandre Silva Pontes;39
André Luís Alice Raabe;39
Ronaldo Alves Garcia;39
Sidnei Alves de Araújo;39
Ádamo Lima de Santana;39
Jose Roberto Frega;39
Jorge Luis Palacios Felix;39
Nalvo Franco de Almeida Junior;39
Elisa Henning;39
Jaime Angulo Pava;39
Gabriel Adrián Sarriés;39
Jorge Vitorio Bacellar dos Santos Pereira;38
Minbo Yang;38
David Antonio da Costa;38
Rogerio Cid Bastos;38
Philippe Mahey;38
Sergio Augusto Rodrigues;38
Viktar Krasnaproshyn;38
Clodoaldo Grotta Ragazzo;38
Cesar Reis;38
Peter Zörnig;38
Rafael Oswaldo Ruggiero Rodriguez;38
Francisco Julio Sobreira de Araujo Corrêa;38
Daniela Müller de Quevedo;38
Ademir Fernando Pazoto;38
Sílvio César Cazella;38
Adriano Rogério Bruno Tech;38
Sandro Ronaldo Bezerra Oliveira;38
João Frederico da Costa Azevedo Meyer;38
Francisco de Assis Tenorio de Carvalho;38
Alfredo Bonini Neto;38
Carlos Alberto Ribeiro Diniz;38
Luiz Antonio Peresi;38
Cid Carvalho de Souza;38
Leslie Darien Pérez Fernández;37
Vinicius Tragante do Ó;37
Orlando Stanley Juriaans;37
Hossein Movasati;37
Marco Antonio Lázaro Velásquez;37
Pedro Paulo Balbi de Oliveira;37
Rogerio Carvalho Guarconi;37
Antonio Fernandes Ize;37
Julio Michael Stern;37
Mauricio Egidio Cantão;37
Flávia Maria Santoro;37
Sóstenes Luiz Soares Lins;37
Alexandre Xavier Ywata de Carvalho;37
Cristiano Augusto Coelho Fernandes;37
Kyril Tintarev;37
José Márcio Machado;37
Carlos Tomei;37
Renato Kraide Soffner;37
Boyan Slavchev Sirakov;37
Marcelo Fernandes Furtado;37
Claudio Gorodski;37
David Nadler Prata;37
José Leomar Todesco;37
Mikhail Vichnevski;36
Luis Aparecido Milan;36
Pedro Eduardo Ubilla López;36
Cesar Augusto Taconeli;36
Sylvio Barbon Júnior;36
Murilo Pereira de Almeida;36
Daniela de Carvalho Lopes;36
João José Neto;36
Anderson Rodrigues dos Santos;36
Renato de Azevedo Tribuzy;36
Ana Carolina Campana Nascimento;36
Cyro Rego Cabral Junior;36
Samuel Edmundo Lopez Bello;36
Luciano Antonio Digiampietri;36
João Lucas Marques Barbosa;36
Marcelo Tsuguio Okano;36
Antonio Carlos Valdiero;36
Jose Luis Braga;36
Christiane Anneliese Gresse von Wangenheim;36
José Palazzo Moreira de Oliveira;36
Lourival Costa Paraíba;36
José Alberto Cuminato;36
Susana Scheimberg de Makler;36
Piotr Boleslaw Koszmider;36
Alfredo Nazareno Pereira Boente;36
Roseclea Duarte Medina;36
Geraldo Nunes Silva;36
Airam Teresa Zago Romcy Sausen;35
Gladimir Valerio Guimaraes Baranoski;35
Simone Maria Chalub Bandeira Bezerra;35
Sven  ivind Wille;35
Zhou Detang;35
Joel Maurício Corrêa da Rosa;35
Aleksandr Sivatckii;35
Willian Silva Barros;35
Mark Klein;35
Camila Nicola Boeri Di Domênico;35
Wagner de Souza Tassinari;35
Welington Celso de Melo;35
Silvio Sandoval Zocchi;35
Adriano Arnóbio José da Silva e Silva;35
Pierluigi Benevieri;35
Julio Cesar Sampaio do Prado Leite;35
Walter Veriano Valério Filho;35
Augustus Caeser Franke Portella;35
Angela Isabel dos Santos Dullius;35
Daniel Schwabe;35
Almir Olivette Artero;35
Maria Manuel Pinto Lopes Ribeiro Clementino;34
Paulo Cesar Rodrigues Pinto Varandas;34
Alfredo Eurico Rodrigues Matta;34
Vladimir Schuchman;34
Jose Carlos Seraphin;34
Eduardo Vasconcelos Oliveira Teixeira;34
Yves Abert Emile Lequain;34
Eugene Pechersky;34
Anselmo Cardoso de Paiva;34
Lorí Viali;34
Jacir Luiz Bordim;34
Ruy Tojeiro de Figueiredo Junior;34
Paulo Roberto de Freitas Teixeira;34
Geraldo Robson Mateus;34
José Antônio de La Peña;34
Ricardo Azambuja Silveira;34
Carlos Lizama;34
Paulo Domingos Cordaro;34
Ibrahim Assem;34
Jose Tarcisio Franco de Camargo;34
Kenneth W Johnson;34
Vera Lucia Damasceno Tomazella;34
Bruno Richard Schulze;34
Igor Leite Freire;34
Francisco José de Azevedo Cysneiros;34
Mauro Spreafico;34
Celina Aparecida Almeida Pereira Abar;34
Roberto de Alencar Lotufo;34
