,0
306,5002805060871446
307,2991113512839338
308,2077457129310194
309,274856314992677
310,3979149526460720
311,2530570285165850
312,2387264471461917
313,2012594563881118
314,8953646779705648
315,9038615346613768
316,6660931328120454
317,967197154698224
318,8058698012041642
319,9433962639763978
320,6925853876576023
321,5367807439150163
322,986077475580390
323,7043102973694805
324,8208188724630317
325,5368292206467565
326,9754647396402338
327,1473084844677726
328,1520212806910322
329,448978352702438
330,7896324671268384
331,7643351173600701
332,2320801888927350
333,7059770609022356
334,4597137059734781
335,4154787146223637
336,1247880564096437
337,2257244558251006
338,5590367237117547
339,9149724650451036
340,6741026914548492
341,862730946771604
342,3602099667502029
343,9902075012597529
344,2634408507100950
345,30153880170989
346,7853908129934448
347,9209454388590325
348,3240204398042247
349,7751208084431086
350,2554057558293125
351,2056648785855144
352,611075824535298
353,5346015331482474
354,6395464061107868
355,4581746197791625
356,1183201737914250
357,1316372296389608
358,5560504952347180
359,1427153134693867
360,576056111153263
361,757145627644716
362,9032038659251469
363,5546715665496557
364,374816962886437
365,7121202135262655
366,4820702492139261
367,6704682997941729
368,9556589750671878
369,4298956315977258
370,8295094729429282
371,3231215749155402
372,845220475324967
373,4416986244015282
374,156389551221774
375,4382643649890787
376,9665832964438674
377,9241312246214072
378,3909756080578238
379,9084962278594894
380,5093210888872414
381,2237596477064578
382,4062592665727166
383,3659768938891848
384,6304141157764577
385,9869878599960320
386,3773639518320487
387,4892919057057787
388,4583655084229166
389,6646987032040595
390,5714081276369160
391,6697616528741541
392,1216210630580841
393,3016363588505209
394,7998515167392516
395,4447992294767071
396,7063376695332022
397,8442192944034550
398,2986958029448752
399,6811770878790975
400,5142426481528206
401,2032256760734225
402,667960137258028
403,7841869231824490
404,1054513142043555
405,1393101534940924
406,908687186950454
407,2747017560926709
408,2682164447105918
409,8174149218876738
410,6354365216617498
411,268289514577372
412,2205756429952082
413,7781627333249561
414,9944750983156918
415,3259280860468553
416,7704569124114645
417,1267259596270957
418,3550143585946842
419,1268167759247908
420,358241126524245
421,9500245604678806
422,970436497846362
423,5358851504202129
424,7761158211784103
425,4773218188948022
426,2912729341993016
427,8322672447833715
428,6609912283071479
429,2677541143976758
430,2516981346240100
431,6264346791195609
432,3318686683743853
433,6564368505291237
434,4030189248596755
435,5336055654190666
436,1504083676579535
437,3376845758801148
438,7628455128004864
439,1605395427835639
440,1815149317008307
441,892649610936342
442,4997192134413186
443,2904507254277611
444,5453450949347965
445,125687197033233
446,9101295277192393
447,95093244682529
448,6846891446918549
449,1034196355724945
450,9764244146941023
451,3020743359147341
452,1521690259769282
453,7993729335401763
454,6317256260766647
455,6376119804316926
456,3101261113805428
457,2632706857649054
458,4267723243939838
459,6782599505851815
460,3464270581374578
461,367382856462792
462,7541987739314374
463,1872992356925815
464,2939186821426667
465,5904412851004861
466,7268092926109722
467,7243265106529400
468,3685438324135522
469,8725620123788586
470,3059724747792581
471,4740137869420348
472,8534640036151949
473,259347290921771
474,7941774982974792
475,2173798953418445
476,5473569053866010
477,5873029694316375
478,850581921280261
479,9877889524998591
480,6144428536509111
481,5379445083107307
482,9572017015065943
483,6800334095132907
484,6112529384454347
485,1488384398482152
486,8032879915906661
487,3819068946086008
488,2167429953546645
489,3389776626113398
490,725483604410666
491,3560557415176717
492,5694700354254026
493,7297488900077729
494,3920163835334828
495,1661826896260586
496,3517701646136868
497,66115475525845
498,7402883737664256
499,6972919231219481
500,1004373523973506
501,4250245923675800
502,3478764638469476
503,8798023523817676
504,8536841991972701
505,7790866637385232
506,9459128754405546
507,1270947513791152
508,4428496133406213
509,6240750958932738
510,8653107798672494
511,2167472456497730
512,8952860161247290
513,6731604653965737
514,4045130632120805
515,2151487876632653
516,2005674046432508
517,8086990485505366
518,5803280562443673
519,4722865535331721
520,9690718454048775
521,2317794596517363
522,5916534412873534
523,6193381671342776
524,4796609278630063
525,7819054102407563
526,2076226496164348
527,6534516803360981
528,1098975053904341
529,471422400500456
530,1921851782313915
531,7717869219724426
532,2459608481762903
533,7217110562885209
534,5795787870871577
535,7055176526520557
536,145810830131742
537,5492901810695337
538,6696856598658030
539,1914965078179670
540,948696188796364
541,5076050304524229
542,6350802854129333
543,1761419839955121
544,5288515402148249
545,9919771314215528
546,191500040579487
547,9476240387217710
548,7731663662793325
549,1668407948840456
550,8664599889120339
551,3041067031974241
552,1073654513865903
553,2029610058780121
554,9441960693153567
555,3476911257488896
556,5044020487332202
557,6617701172635064
558,6900925458823632
559,5716759874692529
560,8091525593128859
561,4590879474413168
562,3806174083311678
563,2014957882626187
564,6372029877507456
565,4822164054567444
566,9150818921025647
567,3614107334329352
568,4218549939112866
569,3839943345497119
570,545330428695112
571,9517370881607680
572,4385210657350212
573,7769491630579878
574,4183069998276255
575,9459669871006143
576,905366727243899
577,6650462760976383
578,8040071176709565
579,785230495011449
580,6423134946889272
581,1786834389373192
582,3103828419121683
583,1700545931391495
584,1302666258264971
585,5914541202062537
586,2116994877337991
587,9393213180145144
588,5806683729889463
589,6646928826506941
590,6984601319941401
591,8894925430611954
592,8602994925714020
593,718859476817870
594,8836486229295978
595,1365309263140784
596,8398712157630495
597,3547474684573889
598,5381937275780405
599,4291670232604529
600,7882054950798307
601,9168076145089862
602,3452575521411050
603,7231324290055142
604,2533558988795199
605,9532346446558536
606,1001437630892785
607,1353077199431768
608,385940090974523
609,9511010025717986
610,6520910380376910
611,3781351509874135
612,1049219203520178
613,3723630524102246
614,3978672890268278
615,1833593674035739
616,7143827598339915
617,9156025676562066
618,9606661651573155
619,1954067105438458
620,6198911600975413
621,435422395713464
622,6157406725725270
623,965547414059401
624,2607109895822832
625,9700223144761798
626,5851108432756265
627,2197545568584900
628,1641850650875934
629,9377393197613965
630,5004871892074407
631,9137876082364738
632,6753230320037937
633,4047786908155583
634,7334805996142405
635,3138448810046000
636,1770575077080310
637,8054908059721556
638,8695223637167252
639,5649518485823512
640,9938603532155438
641,1437903268492099
642,9080749995184027
643,4949706407817842
644,2240090680599956
645,2307278432255136
646,6255983361952112
647,2621383446454738
648,9912077247810845
649,8675737468901580
650,4567997073140727
651,6153751913052466
652,9328110145513702
653,1696477429814262
654,2328650133829558
